,cumsumduration,cumsumwinner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsumwinMethods_[DEC],cumsumwinMethods_[DQ],cumsumwinMethods_[KO],cumsumwinMethods_[SUB],eventDate.date,fighterId,duration,winner,fighter_nbr,count_of_fights,fighterName
3724,864.0,2,253.0,86.0,0.0,0.0,0.0,0.0,253.0,86.0,0.0,0.0,245.0,81.0,6.0,3.0,2.0,2.0,244.0,80.0,6.0,4.0,3.0,2.0,2,0,2,0,2014-06-28 00:00:00,591,300.0,True,1,4,Robert Whittaker
3899,1164.0,3,329.0,130.0,1.0,1.0,0.0,0.0,300.0,104.0,0.0,1.0,290.0,97.0,8.0,5.0,2.0,2.0,288.0,97.0,7.0,4.0,5.0,3.0,3,0,2,0,2014-11-07 00:00:00,591,163.0,True,1,5,Robert Whittaker
4129,1327.0,4,379.0,155.0,2.0,1.0,0.0,0.0,348.0,127.0,0.0,1.0,333.0,117.0,10.0,6.0,5.0,4.0,326.0,114.0,11.0,6.0,11.0,7.0,3,0,3,0,2015-05-09 00:00:00,591,44.0,True,2,6,Robert Whittaker
4370,1371.0,5,393.0,165.0,2.0,1.0,0.0,0.0,362.0,137.0,0.0,1.0,345.0,126.0,11.0,6.0,6.0,5.0,337.0,121.0,11.0,6.0,14.0,10.0,3,0,4,0,2015-11-14 00:00:00,591,300.0,True,2,7,Robert Whittaker
4575,1671.0,6,457.0,208.0,3.0,1.0,0.0,0.0,405.0,159.0,0.0,1.0,382.0,143.0,16.0,10.0,7.0,6.0,365.0,133.0,26.0,16.0,14.0,10.0,4,0,4,0,2016-04-23 00:00:00,591,300.0,True,1,8,Robert Whittaker
4863,1971.0,7,522.0,244.0,3.0,1.0,0.0,0.0,469.0,194.0,0.0,1.0,423.0,161.0,21.0,15.0,25.0,18.0,422.0,164.0,29.0,17.0,18.0,13.0,5,0,4,0,2016-11-26 00:00:00,591,247.0,True,2,9,Robert Whittaker
5043,2218.0,8,582.0,279.0,3.0,1.0,0.0,0.0,527.0,227.0,0.0,1.0,478.0,191.0,23.0,17.0,26.0,19.0,461.0,184.0,39.0,24.0,27.0,19.0,5,0,5,0,2017-04-16 03:00:00,591,208.0,True,2,10,Robert Whittaker
5141,2426.0,9,654.0,317.0,3.0,1.0,0.0,0.0,598.0,264.0,0.0,1.0,541.0,223.0,30.0,21.0,27.0,20.0,508.0,207.0,42.0,24.0,48.0,33.0,5,0,6,0,2017-07-08 00:00:00,591,300.0,True,2,11,Robert Whittaker
5565,2726.0,10,749.0,362.0,3.0,1.0,0.0,0.0,677.0,295.0,0.0,2.0,604.0,244.0,45.0,30.0,28.0,21.0,575.0,231.0,42.0,24.0,60.0,40.0,6,0,6,0,2018-06-09 00:00:00,591,300.0,True,2,12,Robert Whittaker
6239,3026.0,11,778.0,376.0,4.0,1.0,0.0,0.0,706.0,309.0,0.0,2.0,621.0,249.0,49.0,33.0,36.0,27.0,603.0,245.0,42.0,24.0,61.0,40.0,7,0,6,0,2019-10-05 00:00:00,591,213.0,False,2,13,Robert Whittaker
6572,3239.0,11,828.0,391.0,4.0,1.0,0.0,0.0,756.0,324.0,0.0,2.0,669.0,263.0,49.0,33.0,38.0,28.0,653.0,260.0,42.0,24.0,61.0,40.0,7,0,7,0,2020-07-25 00:00:00,591,300.0,True,2,14,Robert Whittaker
